Sample ID,Survey,SurveyID,Site,SiteID,DRM,Diel,DielID,Depth,Depth2,Plankton,Eggs,Larvae,Yolk_sac,Feeding,Pre_flexion,Flexion,Post_flexion,Temp,Sal,DO,Turb,Naupli,Copepodite,Copepods,Crab_nauplii,Bivalve,Gastropod,Fish_egg,Other
L231,October,2,8506,5,21,Day,0,0,0,2,0,0,0,0,0,0,0,19.5,2.14,8.33,2.9,,,,,,,,
L232,October,2,8506,5,21,Day,0,1,-1,2,0,0,0,0,0,0,0,19.43,2.16,8.25,4.5,,,,,,,,
L233,October,2,8506,5,21,Day,0,2,-2,3,0,0,0,0,0,0,0,19.24,2.18,8.06,6.5,,,,,,,,
L234,October,2,8502,1,9,Night,1,0,0,13,0,0,0,0,0,0,0,19.98,2.09,10.63,0,,,,,,,,
L235,October,2,8502,1,9,Night,1,1,-1,17,0,0,0,0,0,0,0,19.93,2.39,9.62,2.6,,,,,,,,
L236,October,2,8502,1,9,Night,1,2,-2,44,0,0,0,0,0,0,0,19.62,4.59,9.12,4.9,,,,,,,,
L237,October,2,8502,1,9,Night,1,3,-3,15,0,0,0,0,0,0,0,19.36,12.74,5.72,2.6,,,,,,,,
L238,October,2,8503,2,12,Night,1,0,0,20,0,0,0,0,0,0,0,19.44,2.25,10.38,0,,,,,,,,
L239,October,2,8503,2,12,Night,1,1,-1,8,0,0,0,0,0,0,0,19.69,2.23,9.27,3,,,,,,,,
L240,October,2,8503,2,12,Night,1,2,-2,13,0,0,0,0,0,0,0,19.64,2.26,9.31,4.6,,,,,,,,
L241,October,2,8503,2,12,Night,1,3,-3,15,1.51,0,0,0,0,0,0,18.45,15.93,4.27,2.1,,,,,,,,
L242,October,2,8503,2,12,Night,1,4,-4,7,2.43,0,0,0,0,0,0,18.46,19.62,2.99,0.8,,,,,,,,
L243,October,2,8504,3,15,Night,1,0,0,7,0,0,0,0,0,0,0,19.42,2.14,11.08,0,,,,,,,,
L244,October,2,8504,3,15,Night,1,1,-1,7,0,0,0,0,0,0,0,19.44,2.15,8.96,3.5,,,,,,,,
L245,October,2,8504,3,15,Night,1,2,-2,6,0,0,0,0,0,0,0,19.44,2.23,8.95,4.8,,,,,,,,
L246,October,2,8504,3,15,Night,1,3,-3,5,6.21,0,0,0,0,0,0,18.22,17.86,3.95,1.5,,,,,,,,
L247,October,2,8504,3,15,Night,1,4,-4,5,2.76,0,0,0,0,0,0,18.25,20.7,1.41,0,,,,,,,,
L248,October,2,8505,4,18,Night,1,0,0,8,0,0,0,0,0,0,0,19.31,2.15,8.86,4,,,,,,,,
L249,October,2,8505,4,18,Night,1,1,-1,4,0,0,0,0,0,0,0,19.3,2.15,8.65,5.4,,,,,,,,
L250,October,2,8505,4,18,Night,1,2,-2,3,0,0,0,0,0,0,0,19.3,2.15,8.43,5.1,,,,,,,,
L251,October,2,8506,5,21,Night,1,0,0,3,0,0,0,0,0,0,0,19.1,2.16,8.58,3.5,,,,,,,,
L252,October,2,8506,5,21,Night,1,1,-1,3,0,0,0,0,0,0,0,19.13,2.17,8.2,5.7,,,,,,,,
L253,October,2,8506,5,21,Night,1,2,-2,3,0,0,0,0,0,0,0,19.14,2.16,8.14,5.9,,,,,,,,
L322,November,3,8511,10,36,Night,1,0,0,10,0,0,0,0,0,0,0,20.51,2.91,10.04,7,0,0.427350427,0,0,1.282051282,0,0,0
L323,November,3,8511,10,36,Night,1,1,-1,17,0,0,0,0,0,0,0,20.69,3.08,9.3,8.9,0,0.427350427,0,0,1.282051282,0,0,0
L324,November,3,8511,10,36,Night,1,2,-2,15,0,0,0,0,0,0,0,19.66,14.11,3.57,23,0.320512821,0.320512821,0,0,4.487179487,0,0,0
L325,November,3,8511,10,36,Night,1,3,-3,10,0,0,0,0,0,0,0,19.55,14.83,0.87,8.3,0,0,0,0,0.854700855,0,0,0
L326,November,3,8510,9,33,Night,1,0,0,5,0,0,0,0,0,0,0,20.66,3.16,8.7,12.3,1.923076923,0.641025641,1.923076923,0,25.64102564,0,0,0
L327,November,3,8510,9,33,Night,1,1,-1,10,0,0,0,0,0,0,0,20.68,3.17,8.69,10.6,1.709401709,0,1.282051282,0,12.39316239,0,0,0
L328,November,3,8510,9,33,Night,1,2,-2,13,1.09,0,0,0,0,0,0,19.86,15.96,0.34,1.9,46.15384615,0,0,0,1215.384615,0,0,0
L329,November,3,8509,8,30,Night,1,0,0,38,0,0,0,0,0,0,0,20.36,3.36,8.56,11.5,11.53846154,84.61538462,11.53846154,0,203.8461538,0,0,0
L330,November,3,8509,8,30,Night,1,1,-1,90,0,0,0,0,0,0,0,20.8,3.53,8.49,9.8,1.923076923,82.69230769,25,0,117.3076923,0,0,1.923076923
L331,November,3,8509,8,30,Night,1,2,-2,32,12.46,0,0,0,0,0,0,20.78,15.65,3.33,3.6,119.2307692,150,69.23076923,0,715.3846154,11.53846154,0,0
L332,November,3,8509,8,30,Night,1,3,-3,16,61.56,0,0,0,0,0,0,19.86,15.96,0.34,1.9,69.23076923,96.15384615,57.69230769,0,1784.615385,0,0,0
L333,November,3,8508,7,27,Night,1,0,0,26,0,0.04,0,0.04,0.04,0,0,20.36,3.36,8.56,11.5,19.23076923,2.564102564,3.846153846,0,83.33333333,0,0,0
L334,November,3,8508,7,27,Night,1,1,-1,31,0,0.43,0.04,0.38,0.38,0,0,20.8,3.53,8.49,9.8,30.76923077,17.94871795,0,0,19.23076923,0,0,0
L335,November,3,8508,7,27,Night,1,2,-2,42,7.8,8.16,3.48,4.68,4.68,0,0,20.78,15.65,3.33,3.6,407.6923077,23.07692308,23.07692308,0,361.5384615,0,0,0
L336,November,3,8507,6,24,Night,1,0,0,16,0,0.09,0.03,0.06,0.06,0,0,20.58,3.84,8.77,9.3,39.74358974,3.846153846,1.282051282,0,19.23076923,0,0,0
L337,November,3,8507,6,24,Night,1,1,-1,17,0,0.05,0.05,0,0,0,0,20.62,3.86,8.69,9.8,48.71794872,5.128205128,1.282051282,0,11.53846154,0,0,0
L338,November,3,8507,6,24,Night,1,2,-2,28,217.31,8.91,0.69,8.23,8.23,0,0,20.91,19.08,6.27,4.7,507.6923077,119.2307692,3.846153846,0,307.6923077,0,0,0
L339,November,3,8511,10,36,Day,0,0,0,2,0.84,0.04,0,0.04,0.04,0,0,21.99,2.74,8.84,7.9,5.128205128,1.282051282,1.282051282,0,5.128205128,0,0,0
L340,November,3,8511,10,36,Day,0,1,-1,2,0.14,0.02,0,0.02,0.02,0,0,20.57,3.07,8.63,4.9,11.53846154,0,0,0,32.05128205,0,0,0
L341,November,3,8511,10,36,Day,0,2,-2,2,0.12,0,0,0,0,0,0,19.86,14.18,5.47,5,10.25641026,0,0,0,205.1282051,1.282051282,0,0
L342,November,3,8511,10,36,Day,0,3,-3,3,0.13,0,0,0,0,0,0,19.6,15.1,0.4,17.6,5.769230769,0.961538462,0,0,21.15384615,0,0,0
L343,November,3,8510,9,33,Day,0,0,0,1,0,0,0,0,0,0,0,21.87,3.16,8.82,9.5,1.282051282,0,0,0,1.282051282,0,0,0
L344,November,3,8510,9,33,Day,0,1,-1,1,0.06,0,0,0,0,0,0,20.75,3.18,8.64,6.9,27.88461538,4.326923077,0,0,5.769230769,0,0,0
L345,November,3,8510,9,33,Day,0,2,-2,2,2.28,0,0,0,0,0,0,19.94,15.1,0.48,3.2,0,0,0,0,5.769230769,0.641025641,0,0
L346,November,3,8509,8,30,Day,0,0,0,2,0,0,0,0,0,0,0,22.6,3.29,8.8,0.1,2.243589744,0.320512821,0.641025641,0,7.692307692,0,0,0
L347,November,3,8509,8,30,Day,0,1,-1,2,0,0,0,0,0,0,0,20.72,3.34,8.39,1.2,6.41025641,0.641025641,1.282051282,0,52.56410256,0,0,0
L348,November,3,8509,8,30,Day,0,2,-2,3,3.33,0,0,0,0,0,0,20.15,17.5,0.55,0,26.92307692,7.692307692,0,0,1080.769231,0,0,0
L349,November,3,8509,8,30,Day,0,3,-3,2,3.6,0,0,0,0,0,0,20.18,20.28,0.44,0,3.846153846,23.07692308,7.692307692,0,2842.307692,3.846153846,0,0
L350,November,3,8508,7,27,Day,0,0,0,1,0,0.02,0,0.02,0.02,0,0,23.05,3.41,8.68,4.7,51.28205128,2.564102564,1.282051282,0,119.2307692,1.282051282,0,0
L351,November,3,8508,7,27,Day,0,1,-1,2,0,0.02,0,0.02,0.02,0,0,21.29,3.44,8.83,4,34.61538462,0,0,0,47.43589744,0,0,0
L352,November,3,8508,7,27,Day,0,2,-2,30,493.06,27.04,21.42,5.62,5.62,0,0,20.64,19.34,2.98,0,265.3846154,92.30769231,73.07692308,0,350,7.692307692,0,0
L353,November,3,8507,6,24,Day,0,0,0,1,0.73,1.2,0.02,1.18,1.18,0,0,22.02,3.72,8.84,7.8,91.02564103,0,0,0,30.76923077,0,0,0
L354,November,3,8507,6,24,Day,0,1,-1,1,0.58,1.73,0.02,1.71,1.71,0,0,21.91,3.8,8.83,7,51.92307692,0,0,0,30.12820513,0,0,0
L355,November,3,8507,6,24,Day,0,2,-2,4,5.17,1.27,0,1.27,1.27,0,0,21.05,18.74,5.39,5.6,482.6923077,57.69230769,59.61538462,0,144.2307692,1.923076923,0,0
L356,November,3,8506,5,21,Night,1,0,0,4,0.05,0.6,0,0.6,0.6,0,0,21.56,4.06,9.06,9.8,115.3846154,3.846153846,5.128205128,0,20.51282051,1.282051282,0,0
L357,November,3,8506,5,21,Night,1,1,-1,7,0,0.36,0,0.35,0.32,0.03,0,21.56,4.08,8.88,8.6,93.58974359,0,2.564102564,0,29.48717949,0,0,0
L358,November,3,8506,5,21,Night,1,2,-2,22,81.9,2.02,0.18,1.84,1.84,0,0,21.1,19.9,6,2.9,842.3076923,115.3846154,111.5384615,0,300,0,0,0
L359,November,3,8505,4,18,Night,1,0,0,8,0,0.13,0,0.13,0.13,0,0,21.2,4.5,8.8,8.3,108.974359,26.92307692,2.564102564,1.282051282,8.974358974,0,0,0
L360,November,3,8505,4,18,Night,1,1,-1,18,0,0.24,0,0.24,0.24,0,0,21.2,4.5,9,7.5,148.7179487,7.692307692,2.564102564,0,6.41025641,0,0,0
L361,November,3,8505,4,18,Night,1,2,-2,22,121.03,3.8,0.58,3.22,3.22,0,0,21.3,20.6,5.5,2.9,946.1538462,107.6923077,65.38461538,0,138.4615385,0,0,0
L362,November,3,8504,3,15,Night,1,0,0,24,16.27,2.71,1.81,0.9,0.9,0,0,21.2,5.3,9,8.4,108.974359,26.92307692,2.564102564,1.282051282,8.974358974,0,0,0
L363,November,3,8504,3,15,Night,1,1,-1,16,1.41,0.71,0.14,0.56,0.56,0,0,21.6,5.3,9.2,4.2,130.7692308,32.05128205,1.282051282,0,8.974358974,0,0,0
L364,November,3,8504,3,15,Night,1,2,-2,35,472.37,12.41,6.06,6.35,6.35,0,0,20.9,23.7,4.1,2,415.3846154,107.6923077,11.53846154,3.846153846,269.2307692,0,11.53846154,0
L365,November,3,8504,3,15,Night,1,3,-3,58,434.86,285.62,211.28,74.35,74.35,0,0,20.2,28,0.8,2,103.8461538,150,161.5384615,0,203.8461538,0,0,0
L366,November,3,8504,3,15,Night,1,4,-4,24,144.39,9.2,6.13,3.07,3.07,0,0,20.1,28.3,0.5,1,3.846153846,7.692307692,27.88461538,0.961538462,19.23076923,0,0,0
L367,November,3,8503,2,12,Night,1,0,0,17,1.64,0,0,0,0,0,0,20.4,7,7.3,10.4,91.02564103,47.43589744,11.53846154,0,0,0,0,0
L368,November,3,8503,2,12,Night,1,1,-1,12,61.1,0,0,0,0,0,0,21.2,18.4,7.8,6,632.6923077,186.5384615,50,1.923076923,63.46153846,0,1.923076923,0
L369,November,3,8503,2,12,Night,1,2,-2,30,202.43,0.45,0.23,0.23,0.23,0,0,21.1,21.1,7.2,2.6,384.6153846,111.5384615,7.692307692,0,26.92307692,0,0,0
L370,November,3,8503,2,12,Night,1,3,-3,20,119.46,0,0,0,0,0,0,20.8,24.6,5.8,0,219.2307692,123.0769231,50,0,53.84615385,0,0,0
L371,November,3,8503,2,12,Night,1,4,-4,30,193.45,1.53,1.02,0.51,0.51,0,0,20.4,27.5,3.2,0,142.3076923,215.3846154,96.15384615,0,11.53846154,0,0,0
L372,November,3,8502,1,9,Night,1,0,0,35,0.24,0,0,0,0,0,0,19.2,12.4,8.9,8.3,140.3846154,48.07692308,26.92307692,0,1.923076923,0,0,0
L373,November,3,8502,1,9,Night,1,1,-1,20,1.68,0,0,0,0,0,0,19.7,17.6,8.6,7.6,142.3076923,51.92307692,30.76923077,0,0,0,0,0
L374,November,3,8502,1,9,Night,1,2,-2,28,18.72,0,0,0,0,0,0,19.8,21.2,8.1,6.2,311.5384615,23.07692308,23.07692308,0,0,0,0,0
L375,November,3,8502,1,9,Night,1,3,-3,30,1.29,0,0,0,0,0,0,19.4,25.1,7.1,2.1,246.1538462,76.92307692,23.07692308,0,0,0,0,0
L376,November,3,8502,1,9,Day,0,0,0,4,0.02,0.02,0,0.02,0.02,0,0,20.5,8.4,9.9,9.5,130.7692308,16.66666667,1.282051282,0,2.564102564,0,0,0
L377,November,3,8502,1,9,Day,0,1,-1,25,4.72,0.03,0.02,0.02,0.02,0,0,20.2,20.9,7.8,7.1,338.4615385,43.58974359,14.1025641,5.128205128,0,0,0,0
L378,November,3,8502,1,9,Day,0,2,-2,25,25.03,0.48,0.48,0,0,0,0,19.4,25.8,7.5,3.7,300,259.6153846,75,19.23076923,5.769230769,0,0,0
